# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.5.3
#@/tick	577
#@/user_id	bf0c8134-52bc-4b1c-a9df-bd5224475e73
a 	啊	c=41 d=4.55671 t=577
a diao 	阿刁	c=1 d=0.29671 t=577
a fu han 	阿富汗	c=1 d=0.109154 t=577
a gu 	阿姑	c=0 d=0.099005 t=577
a gu da 	阿姑打	c=1 d=0.995012 t=577
a la shan 	阿拉善	c=1 d=0.244143 t=577
a li 	阿里	c=1 d=0.0272532 t=577
a li yun 	阿里雲	c=7 d=2.26162 t=577
a ling 	呵令	c=0 d=0.0650509 t=577
a san ge 	阿三哥	c=5 d=2.32477 t=577
a shan dong 	阿善動	c=1 d=0.289384 t=577
a shi da fu 	啊士大夫	c=4 d=0.177761 t=577
a shi fou 	啊是否	c=1 d=0.0605068 t=577
a si 	阿寺	c=3 d=0.874061 t=577
a si dun 	阿斯頓	c=4 d=0.224207 t=577
a si dun ga sha da ge 	阿斯頓噶傻大個	c=1 d=0.767206 t=577
a si dun gao 	阿斯頓搞	c=2 d=0.900334 t=577
a yao 	啊喲	c=0 d=0.0516851 t=577
ai 	唉	c=2 d=0.00848063 t=577
ai 	愛	c=4 d=0.321013 t=577
ai ai chun kong 	靄靄春空	c=2 d=1.98506 t=577
ai ca 	挨擦	c=0 d=0.0285076 t=577
ai ca su du 	挨擦速度	c=1 d=0.286505 t=577
ai de 	愛的	c=2 d=0.139551 t=577
ai guo 	愛國	c=2 d=2.05873 t=577
ai hao 	愛好	c=4 d=0.615796 t=577
ai kan 	愛看	c=1 d=0.369723 t=577
ai ni 	愛你	c=0 d=0.1 t=577
ai qi 	愛妻	c=0 d=6.45813e-05 t=577
ai qi yi 	愛妻以	c=4 d=0.453517 t=577
ai shang 	愛上	c=8 d=0.546387 t=577
ai shang fen shi an da gai sa 	愛上分屍案大概撒	c=1 d=3.68005e-05 t=577
ai zi ti 	愛字體	c=1 d=0.0526021 t=577
an 	安	c=2 d=0.0235177 t=577
an 	按	c=2 d=0.00579716 t=577
an bu jiu ban 	按部就班	c=1 d=1 t=374
an dui zhao 	安對照	c=1 d=0.00660453 t=577
an ni 	安妮	c=1 d=0.932394 t=577
an quan 	安全	c=1 d=0.238115 t=577
an xu 	按需	c=1 d=0.771052 t=577
an zhuang 	安裝	c=6 d=0.0329394 t=577
an zhuang le 	安裝了	c=1 d=0.00625109 t=577
an zhuo 	安卓	c=2 d=0.592399 t=577
ao 	奧	c=0 d=5.53084e-05 t=577
ao shi gen 	奧實根	c=1 d=0.000555857 t=577
ba 	八	c=2 d=0.276006 t=577
ba 	吧	c=19 d=2.95173 t=577
ba 	把	c=14 d=1.90503 t=577
ba bu 	八部	c=1 d=8.43952e-05 t=577
ba gao 	拔高	c=1 d=0.00098783 t=577
ba xian 	拔線	c=1 d=0.860708 t=577
bai du 	百度	c=8 d=1.02688 t=577
bai du wang pan 	百度網盤	c=1 d=0.00392653 t=577
bai jing 	白鯨	c=1 d=0.0017643 t=577
bai ling hai xia 	白令海峽	c=1 d=0.465334 t=577
bai ping 	白屏	c=1 d=0.99005 t=577
bai ren 	百人	c=1 d=0.0211736 t=577
ban 	半	c=2 d=0.904837 t=577
ban 	版	c=13 d=2.00415 t=577
ban ben 	版本	c=21 d=3.32613 t=577
ban fa 	辦法	c=1 d=0.00570359 t=577
ban jiao 	半角	c=1 d=0.771052 t=577
ban mo 	瓣膜	c=1 d=0.00794669 t=577
ban nian 	半年	c=2 d=0.911657 t=577
ban quan 	版權	c=1 d=1 t=577
ban tian 	半天	c=1 d=0.165299 t=577
ban wan shang 	版晚上	c=2 d=0.900325 t=577
ban xiao shi 	半小時	c=1 d=0.594521 t=577
bang 	幫	c=1 d=0.00146632 t=577
bang 	棒	c=1 d=1 t=577
bang mang 	幫忙	c=1 d=0.172907 t=577
bao 	寶	c=2 d=0.272532 t=577
bao 	抱	c=1 d=0.271173 t=577
bao bao 	寶寶	c=1 d=0.726164 t=577
bao chai 	寶釵	c=0 d=0.000301245 t=577
bao cun 	保存	c=2 d=0.231015 t=577
bao cuo 	報錯	c=2 d=0.937067 t=577
bao han 	包含	c=1 d=0.020141 t=577
bao li 	暴力	c=3 d=0.790571 t=577
bao shi 	寶石	c=1 d=5.7864e-06 t=577
bao yuan 	抱怨	c=1 d=0.00212284 t=577
bao yue 	寶月	c=1 d=0.00102302 t=577
bao zheng 	保證	c=1 d=0.0422141 t=577
bei 	北	c=1 d=0.0685632 t=577
bei 	悲	c=1 d=1 t=577
bei 	被	c=11 d=1.81194 t=577
bei 	貝	c=3 d=0.184506 t=577
bei hang 	北航	c=1 d=0.000297529 t=577
bei jiang li 	被獎勵	c=1 d=0.00135358 t=577
bei jing 	北京	c=4 d=0.87616 t=577
bei jing 	背景	c=4 d=0.992882 t=577
bei ke 	貝殼	c=1 d=0.0026852 t=577
bei li gong 	被理工	c=1 d=0.0682212 t=577
bei mei 	北美	c=1 d=0.472367 t=577
bei mian 	北面	c=1 d=1 t=577
bei zhua 	被抓	c=2 d=1.54304 t=577
ben 	本	c=1 d=0.0389686 t=577
ben lai 	本來	c=2 d=0.219808 t=577
ben tu 	本土	c=1 d=1 t=577
beng chu lai 	蹦出來	c=1 d=0.0152222 t=577
bi 	幣	c=1 d=0.000234044 t=577
bi 	比	c=8 d=1.12079 t=577
bi 	閉	c=1 d=0.000312783 t=577
bi bu de yi 	逼不得已	c=1 d=1 t=577
bi fang 	比方	c=0 d=0.00269169 t=577
bi ji 	筆記	c=1 d=0.904837 t=577
bi jiao 	比較	c=1 d=0.0238115 t=577
bi jiao man 	比較慢	c=1 d=0.239309 t=577
bi jing 	畢竟	c=3 d=0.0165286 t=577
bi ru 	比如	c=2 d=0.927743 t=577
bi ru shuo 	比如說	c=3 d=0.336484 t=577
bi yao 	必要	c=0 d=0.00776922 t=577
bi ye 	畢業	c=2 d=0.20089 t=577
bi zhi 	壁紙	c=1 d=0.0523397 t=577
bian 	邊	c=1 d=1 t=577
bian bian 	邊邊	c=1 d=1 t=577
bian cha 	變差	c=1 d=8.37717e-06 t=577
bian cheng 	編程	c=1 d=0.927743 t=577
bian cheng 	變成	c=2 d=0.447088 t=577
bian cheng 	邊程	c=1 d=0.923116 t=577
bian geng 	變更	c=1 d=0.733447 t=577
bian huan 	變換	c=2 d=0.0930145 t=577
bian jie 	邊界	c=4 d=0.00151267 t=577
bian le 	變了	c=1 d=0.0485578 t=577
bian liang 	變量	c=2 d=0.156802 t=577
bian ma 	編碼	c=3 d=0.268655 t=577
bian tian 	變天	c=1 d=0.174645 t=577
bian yi 	編譯	c=3 d=0.941765 t=577
bian yi 	變異	c=1 d=0.0625073 t=577
bian yi chu cuo 	變異出錯	c=1 d=0.585669 t=577
bian yuan 	邊緣	c=1 d=2.79526e-05 t=577
bian zhe 	變着	c=1 d=0.0464212 t=577
biao ge 	表格	c=1 d=0.000214973 t=577
biao ji 	標記	c=2 d=1.23875e-05 t=577
biao qian 	標籤	c=1 d=0.946485 t=577
